id,first_name,last_name,gender,time,location,total_bill,tip,food,Day
516,Kincaid,Sarjeant,Male,Afternoon Tea,Gladden Fields,30.77,4.77,Po-Tay-To Onion Soup,Sunday
517,Lewie,Andino,Male,Luncheon,Gladden Fields,18.29,9.9,Po-Tay-To Onion Soup,Hevensday
518,Derrik,Grealey,Male,Afternoon Tea,Town,30.56,3.63,Strawberry and Banana French Toast,Trewsday
519,Shane,MacTimpany,Female,Elevenses,The Shire,29.33,6.8,Strawberry and Banana French Toast,Sunday
520,Karena,Glasscock,Female,Second Breakfast,The Shire,30.69,1.08,Strawberry and Banana French Toast,Trewsday
521,Jessey,Hedin,Male,Elevenses,The Shire,1.17,7.5,Po-Tay-To Onion Soup,Mersday
522,Auroora,Andrysiak,Female,Supper,Dragon's Den,12.47,4.37,Bilbo's Tea Cake,Highday
523,Audrie,Miner,Female,Luncheon,Dragon's Den,25.82,4.73,Bilbo's Tea Cake,Monday
524,Hugibert,Faas,Male,Afternoon Tea,The Shire,17.0,7.48,Beorn Honey Nut Cake,Monday
525,Fee,Bartel,Male,First Breakfast,The Shire,23.75,3.59,Beorn Honey Nut Cake,Trewsday
526,Ree,Marran,Female,Luncheon,Dragon's Den,27.6,6.75,Po-Tay-To Onion Soup,Trewsday
527,Dierdre,Cant,Female,First Breakfast,Town,1.65,1.36,Po-Tay-To Onion Soup,Sunday
528,Norina,Jarrette,Female,Dinner,Dragon's Den,20.16,9.7,Strawberry and Banana French Toast,Mersday
529,Maxy,Scamaden,Female,Afternoon Tea,Town,15.27,1.33,Beorn Honey Nut Cake,Highday
530,Westbrook,Lace,Male,Dinner,The Shire,16.25,7.49,Cheesy Garlic Bread Meatball Ring,Sterday
531,Fancie,Shyres,Female,Dinner,Dragon's Den,22.59,3.75,Strawberry and Banana French Toast,Trewsday
532,Der,Ayre,Male,First Breakfast,The Shire,16.95,9.05,Beorn Honey Nut Cake,Hevensday
533,Carlyn,Harmstone,Female,Supper,Dragon's Den,12.73,8.78,Cheesy Garlic Bread Meatball Ring,Mersday
534,Ambrosius,Sheal,Male,Supper,Dragon's Den,6.53,7.2,Strawberry and Banana French Toast,Hevensday
535,Riane,Kempster,Female,First Breakfast,Gladden Fields,8.8,1.35,Bilbo's Tea Cake,Trewsday
536,Cory,Mickan,Male,Second Breakfast,Gladden Fields,12.5,9.8,Po-Tay-To Onion Soup,Hevensday
537,Roslyn,McKew,Female,First Breakfast,Town,5.86,5.9,Beorn Honey Nut Cake,Highday
538,Emmerich,Hazard,Male,Second Breakfast,Gladden Fields,34.38,8.09,Cheesy Garlic Bread Meatball Ring,Monday
539,Benedick,Chavez,Male,Elevenses,Dragon's Den,25.14,9.94,Bilbo's Tea Cake,Trewsday
540,Armando,Podd,Male,Dinner,Dragon's Den,6.96,1.64,Po-Tay-To Onion Soup,Mersday
541,Guthry,Cracie,Male,Luncheon,The Shire,3.52,6.33,Beorn Honey Nut Cake,Monday
542,Evvy,Langstrath,Female,Elevenses,The Shire,3.74,5.92,Po-Tay-To Onion Soup,Hevensday
543,Valentin,Bellefonte,Male,First Breakfast,Dragon's Den,22.1,8.95,Strawberry and Banana French Toast,Highday
544,Melania,Neggrini,Female,Dinner,Town,12.32,9.02,Eggs,Monday
545,Katherina,Coplestone,Female,Supper,The Shire,29.78,4.39,Cheesy Garlic Bread Meatball Ring,Highday
546,Montague,Sabbins,Male,Luncheon,Dragon's Den,18.93,9.28,Cheesy Garlic Bread Meatball Ring,Sterday
547,Randie,Siely,Male,Supper,Gladden Fields,23.43,3.88,Beorn Honey Nut Cake,Trewsday
548,Tymothy,Thunnercliffe,Male,Supper,The Shire,16.03,1.7,Strawberry and Banana French Toast,Hevensday
549,Loralie,Allchin,Female,Elevenses,The Shire,8.41,5.49,Bilbo's Tea Cake,Sterday
550,Elenore,Tomasutti,Female,Supper,Town,20.68,5.51,Bilbo's Tea Cake,Mersday
551,Glynn,Handrahan,Male,Supper,Dragon's Den,34.77,1.52,Eggs,Sterday
552,Corbet,Glassopp,Male,Afternoon Tea,Dragon's Den,10.65,7.83,Strawberry and Banana French Toast,Hevensday
553,Chloe,Cunliffe,Female,Second Breakfast,Dragon's Den,18.15,1.37,Cheesy Garlic Bread Meatball Ring,Hevensday
554,Nikolaus,Danielski,Male,Afternoon Tea,Gladden Fields,24.19,9.65,Beorn Honey Nut Cake,Sunday
555,Briana,Sline,Female,Elevenses,Dragon's Den,9.4,9.97,Bilbo's Tea Cake,Sunday
556,Brandise,Urch,Female,Elevenses,Town,27.45,8.41,Beorn Honey Nut Cake,Sterday
557,Dulcie,Stathers,Female,Second Breakfast,Gladden Fields,20.24,8.69,Cheesy Garlic Bread Meatball Ring,Sterday
558,Maritsa,Stannus,Female,First Breakfast,Gladden Fields,17.72,3.79,Bilbo's Tea Cake,Highday
559,Anna,Carpenter,Female,Dinner,The Shire,2.76,5.11,Po-Tay-To Onion Soup,Sunday
560,Thomasine,Anyon,Female,Dinner,Town,32.63,4.94,Eggs,Highday
561,Sanderson,Dallow,Male,Afternoon Tea,The Shire,15.82,1.39,Cheesy Garlic Bread Meatball Ring,Highday
562,Blondelle,Lorryman,Female,Elevenses,The Shire,34.04,7.59,Bilbo's Tea Cake,Monday
563,Armando,Orchard,Male,Afternoon Tea,Gladden Fields,17.73,5.09,Beorn Honey Nut Cake,Sunday
564,Bar,Wastall,Male,First Breakfast,Dragon's Den,20.01,9.15,Beorn Honey Nut Cake,Sterday
565,Moishe,Harbisher,Male,Second Breakfast,Dragon's Den,6.17,8.96,Strawberry and Banana French Toast,Mersday
566,Graehme,Bambury,Male,Afternoon Tea,Gladden Fields,3.56,8.34,Bilbo's Tea Cake,Trewsday
567,Farlie,Hansemann,Male,Supper,Town,21.98,6.56,Cheesy Garlic Bread Meatball Ring,Monday
568,Rubetta,MacKniely,Female,Dinner,The Shire,13.84,1.15,Beorn Honey Nut Cake,Sunday
569,Alla,Tarbett,Female,Luncheon,Gladden Fields,2.61,4.57,Beorn Honey Nut Cake,Mersday
570,Joachim,Cassely,Male,Dinner,The Shire,29.83,9.18,Cheesy Garlic Bread Meatball Ring,Sunday
571,Boy,Murtagh,Male,Supper,Gladden Fields,30.13,1.97,Po-Tay-To Onion Soup,Hevensday
572,Carlina,Skitt,Female,Afternoon Tea,Town,6.32,1.24,Beorn Honey Nut Cake,Trewsday
573,Huntley,Towler,Male,Luncheon,The Shire,19.35,5.34,Strawberry and Banana French Toast,Highday
574,Karlotta,Copson,Female,Dinner,Dragon's Den,21.48,7.55,Po-Tay-To Onion Soup,Sunday
575,Lonnie,Tibbs,Male,Supper,Gladden Fields,15.22,4.45,Po-Tay-To Onion Soup,Sterday
576,Kippy,Close,Female,Elevenses,Town,18.09,6.32,Eggs,Hevensday
577,Kory,Normaville,Male,Second Breakfast,Town,9.92,3.98,Cheesy Garlic Bread Meatball Ring,Monday
578,Pacorro,Lanceter,Male,Afternoon Tea,Town,2.66,1.65,Eggs,Sunday
579,Gaby,Dongall,Female,Dinner,Town,12.06,7.76,Bilbo's Tea Cake,Mersday
580,Klemens,Dacombe,Male,First Breakfast,Town,24.23,1.32,Eggs,Mersday
581,Lem,Deners,Male,Second Breakfast,Dragon's Den,14.08,1.22,Beorn Honey Nut Cake,Mersday
582,Mollee,Romney,Female,Dinner,Gladden Fields,24.33,9.45,Beorn Honey Nut Cake,Monday
583,Meta,Antal,Female,Supper,Dragon's Den,14.43,8.0,Beorn Honey Nut Cake,Highday
584,Rodger,Caldicott,Male,Second Breakfast,Dragon's Den,12.66,5.51,Strawberry and Banana French Toast,Trewsday
585,Rhett,Yeudall,Male,Elevenses,Town,29.12,8.78,Eggs,Mersday
586,Karlyn,Janca,Female,Supper,The Shire,29.31,8.75,Bilbo's Tea Cake,Sunday
587,Chan,Butler,Male,Elevenses,Gladden Fields,13.05,7.22,Eggs,Sunday
588,Eadith,Rau,Female,Supper,Gladden Fields,16.05,5.58,Strawberry and Banana French Toast,Sunday
589,Anabella,Spurryer,Female,First Breakfast,Gladden Fields,34.47,7.69,Strawberry and Banana French Toast,Hevensday
590,Odo,Doxey,Male,Dinner,Gladden Fields,20.48,3.92,Beorn Honey Nut Cake,Sterday
591,Leonhard,Bernocchi,Male,First Breakfast,Gladden Fields,19.79,1.37,Beorn Honey Nut Cake,Hevensday
592,Morten,Cota,Male,Second Breakfast,Town,20.15,3.59,Bilbo's Tea Cake,Mersday
593,Ruby,Cass,Female,Dinner,Town,20.6,5.58,Po-Tay-To Onion Soup,Monday
594,Margaretta,Chene,Female,Dinner,Gladden Fields,26.88,3.78,Beorn Honey Nut Cake,Hevensday
595,Zechariah,Adshad,Male,First Breakfast,The Shire,17.75,7.96,Cheesy Garlic Bread Meatball Ring,Mersday
596,Tobias,Bragginton,Male,Second Breakfast,Gladden Fields,14.29,8.79,Beorn Honey Nut Cake,Sterday
597,Julienne,Fishleigh,Female,First Breakfast,The Shire,24.65,3.25,Strawberry and Banana French Toast,Monday
598,Arleen,Normanville,Female,Afternoon Tea,Gladden Fields,29.88,2.76,Strawberry and Banana French Toast,Mersday
599,Jasmin,Heifer,Female,Second Breakfast,Dragon's Den,10.22,1.85,Cheesy Garlic Bread Meatball Ring,Sunday
600,Nathalia,Fortnon,Female,Elevenses,Dragon's Den,28.71,6.14,Bilbo's Tea Cake,Sunday
601,Artemus,Erwin,Male,Supper,The Shire,8.16,1.33,Bilbo's Tea Cake,Hevensday
602,Binny,Mariet,Female,First Breakfast,Dragon's Den,10.08,5.02,Beorn Honey Nut Cake,Monday
603,Cindelyn,Atty,Female,Second Breakfast,Dragon's Den,26.04,7.4,Bilbo's Tea Cake,Monday
604,Burnard,Birts,Male,Luncheon,Town,32.41,4.63,Po-Tay-To Onion Soup,Monday
605,Inglis,Fenck,Male,Elevenses,Gladden Fields,25.66,2.16,Cheesy Garlic Bread Meatball Ring,Trewsday
606,Nobe,Windless,Male,First Breakfast,The Shire,16.47,5.42,Po-Tay-To Onion Soup,Hevensday
607,Cly,Rape,Male,Afternoon Tea,Town,14.59,2.53,Cheesy Garlic Bread Meatball Ring,Monday
608,Ruthanne,Doylend,Female,First Breakfast,Gladden Fields,30.55,5.44,Strawberry and Banana French Toast,Hevensday
609,Giovanna,Jertz,Female,Luncheon,Gladden Fields,24.68,1.36,Strawberry and Banana French Toast,Monday
610,Dahlia,Webb,Female,Afternoon Tea,Dragon's Den,8.94,1.74,Cheesy Garlic Bread Meatball Ring,Hevensday
611,Burl,Euplate,Male,First Breakfast,Gladden Fields,20.07,7.62,Eggs,Monday
612,Ezequiel,Bang,Male,Luncheon,Gladden Fields,14.78,7.36,Bilbo's Tea Cake,Sunday
613,Elna,Covelle,Female,First Breakfast,Gladden Fields,13.59,7.2,Po-Tay-To Onion Soup,Monday
614,Guillermo,Piens,Male,Supper,The Shire,31.41,8.45,Cheesy Garlic Bread Meatball Ring,Mersday
615,Brannon,Illesley,Male,Luncheon,The Shire,26.49,5.55,Beorn Honey Nut Cake,Sterday
616,Suellen,Capaldo,Female,Elevenses,The Shire,1.09,3.49,Bilbo's Tea Cake,Sterday
617,Daven,Elman,Male,Supper,Town,22.22,3.2,Beorn Honey Nut Cake,Highday
618,Cece,Barrar,Male,Elevenses,Town,22.7,1.51,Eggs,Highday
619,Percy,Kepling,Male,Supper,The Shire,6.89,6.86,Beorn Honey Nut Cake,Trewsday
620,Margaux,Bolton,Female,Luncheon,Town,24.49,5.05,Strawberry and Banana French Toast,Mersday
621,Keri,Comben,Female,First Breakfast,Gladden Fields,28.23,7.85,Po-Tay-To Onion Soup,Sterday
622,Neely,Lively,Female,Afternoon Tea,The Shire,15.81,2.95,Bilbo's Tea Cake,Monday
623,Nancie,Bly,Female,Dinner,The Shire,12.08,9.86,Bilbo's Tea Cake,Hevensday
624,Lorry,Giffon,Male,First Breakfast,The Shire,6.5,8.71,Strawberry and Banana French Toast,Sunday
625,Elset,Switzer,Female,Supper,Dragon's Den,20.24,6.94,Cheesy Garlic Bread Meatball Ring,Sterday
626,Rube,Northeast,Male,Afternoon Tea,Gladden Fields,4.19,1.4,Eggs,Hevensday
627,Niko,Heeran,Male,First Breakfast,Dragon's Den,13.75,1.1,Eggs,Trewsday
628,Angelita,Sauven,Female,Elevenses,Gladden Fields,34.46,1.73,Strawberry and Banana French Toast,Hevensday
629,Claudian,Pinchen,Male,Afternoon Tea,The Shire,24.92,7.57,Beorn Honey Nut Cake,Monday
630,Krisha,Riccardo,Male,First Breakfast,Town,3.89,7.31,Strawberry and Banana French Toast,Highday
631,Bailey,Carbin,Male,Afternoon Tea,Dragon's Den,23.24,2.18,Beorn Honey Nut Cake,Sterday
632,Waldo,Lushey,Male,Dinner,Dragon's Den,23.82,5.46,Cheesy Garlic Bread Meatball Ring,Highday
633,Dion,Jephson,Male,Afternoon Tea,Gladden Fields,28.54,5.65,Eggs,Highday
634,Fifi,Soans,Female,Afternoon Tea,Gladden Fields,16.33,2.85,Po-Tay-To Onion Soup,Hevensday
635,Raf,Bernardelli,Female,Afternoon Tea,The Shire,30.35,7.83,Beorn Honey Nut Cake,Sunday
636,Laverne,Yarrall,Female,Dinner,The Shire,16.46,8.97,Po-Tay-To Onion Soup,Sunday
637,Leelah,Ditch,Female,Supper,Town,27.62,4.41,Bilbo's Tea Cake,Monday
638,Franni,Daelman,Female,Dinner,Town,19.66,4.48,Cheesy Garlic Bread Meatball Ring,Sunday
639,Cathryn,Canavan,Female,Supper,The Shire,16.85,6.27,Strawberry and Banana French Toast,Sterday
640,Marietta,Greenhall,Male,First Breakfast,The Shire,8.24,8.94,Po-Tay-To Onion Soup,Monday
641,Teodor,Teresse,Male,Luncheon,Dragon's Den,32.93,2.71,Cheesy Garlic Bread Meatball Ring,Highday
642,Katharine,Crack,Female,Supper,Town,14.07,4.07,Beorn Honey Nut Cake,Sterday
643,Clemens,Tyson,Male,Dinner,Gladden Fields,5.48,3.39,Bilbo's Tea Cake,Hevensday
644,Jere,Passie,Female,Elevenses,The Shire,12.48,9.68,Strawberry and Banana French Toast,Hevensday
645,Florian,Pendre,Male,Supper,The Shire,24.37,7.49,Beorn Honey Nut Cake,Hevensday
646,Gale,Gladding,Female,Supper,Town,10.77,5.2,Beorn Honey Nut Cake,Mersday
647,Dalton,Riccardo,Male,Second Breakfast,Dragon's Den,6.7,2.82,Beorn Honey Nut Cake,Hevensday
648,Hope,Scarsbrick,Female,First Breakfast,Dragon's Den,30.91,6.5,Bilbo's Tea Cake,Mersday
649,Janela,Skates,Female,First Breakfast,Town,3.58,6.85,Strawberry and Banana French Toast,Trewsday
650,Beatrisa,Cappleman,Female,Luncheon,Town,8.12,1.35,Cheesy Garlic Bread Meatball Ring,Hevensday
651,Burt,Snookes,Male,Dinner,The Shire,15.81,3.96,Eggs,Mersday
652,Bartolemo,Sewill,Male,Afternoon Tea,Dragon's Den,6.97,1.97,Po-Tay-To Onion Soup,Monday
653,Jule,Riolfi,Male,First Breakfast,Gladden Fields,17.14,7.76,Bilbo's Tea Cake,Mersday
654,Julita,Aleso,Female,First Breakfast,Town,9.05,3.84,Po-Tay-To Onion Soup,Hevensday
655,Hoyt,Misk,Male,Elevenses,Dragon's Den,21.75,1.69,Beorn Honey Nut Cake,Mersday
656,Donn,Heape,Male,First Breakfast,The Shire,23.67,2.88,Po-Tay-To Onion Soup,Mersday
657,Marcellus,Bargh,Male,Supper,Dragon's Den,8.44,3.61,Bilbo's Tea Cake,Highday
658,Miof mela,Dillamore,Female,Luncheon,The Shire,2.53,6.11,Po-Tay-To Onion Soup,Sterday
659,Sayer,Wong,Male,Second Breakfast,Gladden Fields,4.09,1.94,Cheesy Garlic Bread Meatball Ring,Mersday
660,Shani,Panswick,Female,Second Breakfast,Dragon's Den,10.72,3.75,Eggs,Mersday
661,Sherwin,Demeza,Male,Dinner,The Shire,25.4,3.83,Strawberry and Banana French Toast,Monday
662,Demetri,Wilcox,Male,Supper,The Shire,16.13,9.08,Cheesy Garlic Bread Meatball Ring,Hevensday
663,Ingrid,Prandy,Female,Luncheon,The Shire,16.47,7.76,Po-Tay-To Onion Soup,Mersday
664,Christie,Light,Male,Second Breakfast,Town,3.47,8.85,Eggs,Trewsday
665,Ogdon,Maasze,Male,Elevenses,Dragon's Den,2.21,6.39,Po-Tay-To Onion Soup,Hevensday
666,Jolene,Penwell,Female,Elevenses,Gladden Fields,19.92,5.09,Eggs,Sterday
667,Cesar,Upson,Male,Elevenses,Gladden Fields,33.08,8.81,Strawberry and Banana French Toast,Mersday
668,Wileen,Mattam,Female,Elevenses,Gladden Fields,7.1,7.82,Strawberry and Banana French Toast,Trewsday
669,Huntlee,Christaeas,Male,Afternoon Tea,Town,34.98,4.22,Beorn Honey Nut Cake,Sterday
670,Lyon,Guerre,Male,Luncheon,Town,4.86,3.99,Po-Tay-To Onion Soup,Monday
671,Kaitlynn,Duthie,Female,Supper,Gladden Fields,16.03,5.29,Cheesy Garlic Bread Meatball Ring,Monday
672,Morse,Magor,Male,Afternoon Tea,Gladden Fields,15.37,5.47,Po-Tay-To Onion Soup,Sterday
673,Bidget,Tuckett,Female,First Breakfast,Gladden Fields,32.24,6.97,Po-Tay-To Onion Soup,Hevensday
674,Ber,Klainman,Male,Luncheon,The Shire,25.68,1.49,Po-Tay-To Onion Soup,Trewsday
675,Angeline,Gussie,Female,First Breakfast,Town,29.42,2.72,Strawberry and Banana French Toast,Sunday
676,Zitella,Backshaw,Female,Elevenses,Dragon's Den,16.56,7.91,Cheesy Garlic Bread Meatball Ring,Sunday
677,Dyanna,Spottswood,Female,Luncheon,Town,4.2,7.64,Beorn Honey Nut Cake,Trewsday
678,Sigrid,Vise,Female,First Breakfast,Gladden Fields,25.11,4.54,Po-Tay-To Onion Soup,Hevensday
679,Felita,Danielski,Female,Supper,Gladden Fields,10.2,1.92,Bilbo's Tea Cake,Monday
680,Abie,Absolon,Male,First Breakfast,Town,23.88,5.63,Beorn Honey Nut Cake,Trewsday
681,Lilah,Arro,Female,Second Breakfast,Dragon's Den,23.4,6.86,Eggs,Trewsday
682,Laughton,Kauble,Male,Elevenses,The Shire,34.67,3.54,Eggs,Sunday
683,Alys,Buntain,Female,First Breakfast,The Shire,9.05,1.14,Eggs,Hevensday
684,Allsun,Jina,Female,Afternoon Tea,The Shire,28.65,3.13,Cheesy Garlic Bread Meatball Ring,Sterday
685,Basil,Gwynne,Male,Dinner,Town,7.52,9.92,Po-Tay-To Onion Soup,Monday
686,Kort,Willgoose,Male,Dinner,Town,11.46,4.29,Po-Tay-To Onion Soup,Sunday
687,Cordie,Baversor,Male,Afternoon Tea,Dragon's Den,8.7,6.72,Bilbo's Tea Cake,Mersday
688,Ralph,Gaymer,Male,Elevenses,Town,3.47,9.28,Beorn Honey Nut Cake,Sunday
689,Maggy,Radsdale,Female,First Breakfast,Dragon's Den,16.11,5.47,Eggs,Mersday
690,Marylee,Aplin,Female,Second Breakfast,Dragon's Den,33.93,9.93,Po-Tay-To Onion Soup,Monday
691,Wanda,Sacker,Female,Elevenses,Dragon's Den,34.41,1.04,Beorn Honey Nut Cake,Trewsday
692,Dion,Matzke,Female,First Breakfast,Town,14.9,6.47,Po-Tay-To Onion Soup,Highday
693,Chloette,Paten,Female,Supper,Gladden Fields,29.7,7.47,Po-Tay-To Onion Soup,Sterday
694,Tomasina,Corbert,Female,Elevenses,The Shire,1.23,6.2,Strawberry and Banana French Toast,Monday
695,Shandeigh,Ponsford,Female,Luncheon,The Shire,32.04,2.91,Cheesy Garlic Bread Meatball Ring,Highday
696,Layne,Price,Female,Elevenses,Town,11.89,4.08,Bilbo's Tea Cake,Monday
697,Reamonn,Waudby,Male,Luncheon,The Shire,17.12,7.37,Strawberry and Banana French Toast,Monday
698,Roxane,Winfrey,Female,Dinner,Town,8.12,6.17,Cheesy Garlic Bread Meatball Ring,Hevensday
699,Aigneis,McCormick,Female,Supper,Dragon's Den,18.88,2.97,Strawberry and Banana French Toast,Sterday
700,Selby,Lenormand,Male,First Breakfast,Town,20.89,8.02,Eggs,Trewsday
701,Valaree,Mary,Female,Elevenses,Gladden Fields,14.07,2.83,Po-Tay-To Onion Soup,Mersday
702,Gottfried,Kleinber,Male,Luncheon,The Shire,1.45,5.61,Cheesy Garlic Bread Meatball Ring,Hevensday
703,Fabian,Mathwin,Male,Second Breakfast,Town,30.01,3.5,Eggs,Trewsday
704,Lilla,Gladman,Female,First Breakfast,Gladden Fields,7.32,2.58,Bilbo's Tea Cake,Trewsday
705,Ulric,Kos,Male,First Breakfast,The Shire,29.11,5.51,Strawberry and Banana French Toast,Mersday
706,Doll,Pescott,Female,Second Breakfast,Dragon's Den,34.58,7.31,Strawberry and Banana French Toast,Trewsday
707,Ingeborg,Giron,Female,Dinner,Dragon's Den,29.27,1.9,Beorn Honey Nut Cake,Monday
708,Bridget,Valero,Female,Supper,Gladden Fields,1.49,8.72,Po-Tay-To Onion Soup,Hevensday
709,Bess,Tomaino,Female,Elevenses,The Shire,12.16,4.89,Po-Tay-To Onion Soup,Mersday
710,Rubia,Littlefield,Female,First Breakfast,The Shire,18.85,2.78,Po-Tay-To Onion Soup,Highday
711,Jenn,Klimontovich,Female,Second Breakfast,The Shire,17.32,5.9,Bilbo's Tea Cake,Mersday
712,Goddart,Booi,Male,Elevenses,The Shire,6.83,9.82,Po-Tay-To Onion Soup,Sterday
713,Lorens,Beggio,Male,Afternoon Tea,The Shire,17.58,9.37,Cheesy Garlic Bread Meatball Ring,Mersday
714,Frasier,Looney,Male,Afternoon Tea,Dragon's Den,13.56,1.88,Beorn Honey Nut Cake,Hevensday
715,Shirlee,Lavrinov,Female,Afternoon Tea,The Shire,33.62,1.4,Eggs,Mersday
716,Carrol,Gennerich,Male,Supper,Dragon's Den,25.55,1.47,Eggs,Highday
717,Kenon,Kynd,Male,First Breakfast,The Shire,32.78,5.2,Strawberry and Banana French Toast,Trewsday
718,Andras,Huish,Male,Afternoon Tea,The Shire,19.35,2.99,Cheesy Garlic Bread Meatball Ring,Highday
719,Lanni,Harbar,Female,Dinner,The Shire,11.78,3.02,Eggs,Highday
720,Crichton,Gunson,Male,Dinner,Dragon's Den,27.46,4.93,Bilbo's Tea Cake,Sunday
721,Hilliard,Olexa,Male,Luncheon,Town,27.51,8.35,Strawberry and Banana French Toast,Trewsday
722,Petronille,Bartolomeu,Female,Second Breakfast,The Shire,13.72,9.01,Strawberry and Banana French Toast,Monday
723,Merla,Brandon,Female,Afternoon Tea,Town,17.38,2.79,Strawberry and Banana French Toast,Mersday
724,Bartholomew,Faucett,Male,Second Breakfast,Gladden Fields,32.2,2.95,Strawberry and Banana French Toast,Hevensday
725,Pierre,Torresi,Male,Afternoon Tea,Gladden Fields,11.81,8.95,Po-Tay-To Onion Soup,Mersday
726,Karlie,Stonman,Female,Dinner,The Shire,4.36,8.45,Eggs,Mersday
727,Dex,Halford,Male,First Breakfast,The Shire,23.88,8.74,Eggs,Trewsday
728,Ashbey,Boscott,Male,Supper,Dragon's Den,1.51,3.43,Cheesy Garlic Bread Meatball Ring,Hevensday
729,Harli,Blaver,Female,Elevenses,Gladden Fields,30.71,2.03,Bilbo's Tea Cake,Hevensday
730,Devland,Stathor,Male,Dinner,The Shire,32.32,4.89,Beorn Honey Nut Cake,Sterday
731,Richmound,Piddington,Male,Supper,Town,32.98,2.75,Po-Tay-To Onion Soup,Mersday
732,Gina,Katt,Female,Supper,The Shire,17.36,2.8,Cheesy Garlic Bread Meatball Ring,Monday
733,Arlin,Wanell,Male,Luncheon,Town,21.08,4.48,Cheesy Garlic Bread Meatball Ring,Mersday
734,Rosemarie,Allred,Female,Elevenses,Dragon's Den,16.96,9.36,Eggs,Trewsday
735,Paloma,Fideler,Female,Supper,Town,14.14,8.3,Beorn Honey Nut Cake,Hevensday
736,Ariela,McCleod,Female,Second Breakfast,Town,20.68,9.24,Po-Tay-To Onion Soup,Mersday
737,Gerri,Petticrow,Male,Supper,The Shire,23.92,5.82,Cheesy Garlic Bread Meatball Ring,Monday
738,Kristopher,Coldbathe,Male,Second Breakfast,Gladden Fields,21.28,5.26,Strawberry and Banana French Toast,Monday
739,Rourke,Tait,Male,First Breakfast,Gladden Fields,17.89,1.68,Bilbo's Tea Cake,Hevensday
740,Alphonse,Dell,Male,Afternoon Tea,The Shire,22.13,9.84,Bilbo's Tea Cake,Sterday
741,Jamill,Shaplin,Male,Second Breakfast,The Shire,19.29,7.67,Beorn Honey Nut Cake,Trewsday
742,Raleigh,O'Daly,Male,Elevenses,Gladden Fields,27.77,2.97,Eggs,Mersday
743,Minetta,Korejs,Female,Supper,Town,3.24,3.41,Cheesy Garlic Bread Meatball Ring,Sunday
744,Salome,Lerway,Female,Supper,Town,8.85,9.03,Bilbo's Tea Cake,Highday
745,Scarlet,Aaron,Female,Elevenses,Town,21.87,6.45,Po-Tay-To Onion Soup,Sterday
746,Ephrem,Scini,Male,Supper,The Shire,26.09,9.96,Eggs,Highday
747,Flem,Cornfield,Male,Second Breakfast,Gladden Fields,25.75,6.79,Cheesy Garlic Bread Meatball Ring,Hevensday
748,Whitaker,Perche,Male,First Breakfast,Dragon's Den,7.97,2.86,Eggs,Mersday
749,Jewel,Matteotti,Female,Elevenses,Gladden Fields,15.04,8.09,Cheesy Garlic Bread Meatball Ring,Sunday
750,Luce,Tewnion,Male,Elevenses,Dragon's Den,15.55,7.22,Beorn Honey Nut Cake,Sunday
751,Monro,Klink,Male,Second Breakfast,Dragon's Den,9.92,5.43,Strawberry and Banana French Toast,Hevensday
752,Noelani,Fallow,Female,Afternoon Tea,Gladden Fields,16.55,9.7,Eggs,Hevensday
753,Coop,Eves,Male,Afternoon Tea,Town,21.81,4.2,Cheesy Garlic Bread Meatball Ring,Mersday
754,Riley,Avrahamof,Male,Luncheon,Dragon's Den,31.14,6.41,Beorn Honey Nut Cake,Sunday
755,Anthiathia,Chatelet,Female,Supper,Dragon's Den,20.15,8.29,Cheesy Garlic Bread Meatball Ring,Monday
756,Harper,Jacquet,Male,Supper,Town,16.86,9.44,Beorn Honey Nut Cake,Trewsday
757,Brianna,Castellaccio,Female,Supper,Gladden Fields,34.21,7.27,Cheesy Garlic Bread Meatball Ring,Hevensday
758,Tommy,Astall,Female,Supper,The Shire,21.53,4.01,Cheesy Garlic Bread Meatball Ring,Monday
759,Benson,Bricham,Male,Luncheon,Town,9.04,6.4,Eggs,Sterday
760,Lucky,Musk,Female,Second Breakfast,Gladden Fields,34.32,6.33,Beorn Honey Nut Cake,Trewsday
761,Ezri,Pryce,Male,Elevenses,Town,28.09,5.05,Cheesy Garlic Bread Meatball Ring,Monday
762,Dorisa,Joule,Female,Dinner,The Shire,1.66,1.52,Bilbo's Tea Cake,Mersday
763,Felisha,Coalburn,Female,Supper,The Shire,11.5,9.56,Cheesy Garlic Bread Meatball Ring,Sterday
764,Rip,Waring,Male,Second Breakfast,The Shire,34.56,7.79,Strawberry and Banana French Toast,Highday
765,Mella,McCarter,Female,Elevenses,Dragon's Den,13.88,7.05,Po-Tay-To Onion Soup,Monday
766,Zechariah,Duxbarry,Male,Second Breakfast,Gladden Fields,2.71,2.67,Strawberry and Banana French Toast,Sunday
767,Etty,Konert,Female,Supper,Dragon's Den,25.09,9.68,Po-Tay-To Onion Soup,Sunday
768,Alia,Knibbs,Female,Dinner,Town,13.67,1.87,Strawberry and Banana French Toast,Sterday
769,Vittorio,de la Valette Parisot,Male,Dinner,Gladden Fields,28.05,2.68,Cheesy Garlic Bread Meatball Ring,Mersday
770,Ganny,Ellis,Male,First Breakfast,Town,14.87,1.24,Beorn Honey Nut Cake,Sunday
771,Killian,Alloway,Male,Dinner,Gladden Fields,16.89,6.71,Eggs,Highday
